TIME_PERIOD,value
2011-09-12,2.337531480347573
2011-09-13,2.436511842333579
2011-09-14,2.4832352973389047
2011-09-15,2.605162506053592
2011-09-16,2.4935124248105254
2011-09-19,2.400034594192705
2011-09-20,2.4063949880742657
2011-09-21,2.4284657555892477
2011-09-22,2.3742250960631788
2011-09-23,2.3488948771943656
2011-09-26,2.3919109700352097
2011-09-27,2.5648540715346666
2011-09-28,2.5600317953207714
2011-09-29,2.5727451527335004
2011-09-30,2.483376235288464
2011-10-03,2.4390284283668606
2011-10-04,2.355655775812332
2011-10-05,2.4807952042003647
2011-10-06,2.5074115671373898
2011-10-07,2.609591261294299
2011-10-10,2.6797736537008623
2011-10-11,2.6973346721519684
2011-10-12,2.7865540884546025
2011-10-13,2.743568479125142
2011-10-14,2.8585165868671307
2011-10-17,2.764965336893396
2011-10-18,2.755677438534565
2011-10-19,2.811344988239871
2011-10-20,2.8151982187230065
2011-10-21,2.8480206186057475
2011-10-24,2.834689775840521
2011-10-25,2.813860033598403
2011-10-26,2.7630986656455314
2011-10-27,2.8333912548407127
2011-10-28,2.870758877952651
2011-10-31,2.788549161763497
2011-11-01,2.604445434821534
2011-11-02,2.680756769447854
2011-11-03,2.751796622565512
2011-11-04,2.6748324620760977
2011-11-07,2.677436887521772
2011-11-08,2.683286417378267
2011-11-09,2.624485575918439
2011-11-10,2.737207476945062
2011-11-11,2.824112960045869
2011-11-14,2.825435539757484
2011-11-15,2.9206056663823383
2011-11-16,2.956954033008862
2011-11-17,2.9654333740584136
2011-11-18,2.977028027251985
2011-11-21,2.903875800931167
2011-11-22,2.9730147444469277
2011-11-23,3.07976836244861
2011-11-24,3.1202274092807976
2011-11-25,3.185549447034418
2011-11-28,3.1675655078546185
2011-11-29,3.167156887212822
2011-11-30,3.0719470274410456
2011-12-01,2.982076535554413
2011-12-02,2.931845359318383
2011-12-05,2.8986213490809334
2011-12-06,2.943699972332874
2011-12-07,2.8727512181815777
2011-12-08,2.88816481834536
2011-12-09,2.861055562470485
2011-12-12,2.8229765597115177
2011-12-13,2.8304557014211422
2011-12-14,2.7225499790623875
2011-12-15,2.6741874725190007
2011-12-16,2.6363220561631997
2011-12-19,2.6551714751992264
2011-12-20,2.707247794917621
2011-12-21,2.687009852251011
2011-12-22,2.69236384415695
2011-12-23,2.6750281477763225
2011-12-27,2.6545914405040687
2011-12-28,2.6485286001934503
2011-12-29,2.633834230900446
2011-12-30,2.645128365970277
2012-01-02,2.717862093031807
2012-01-03,2.744521728129592
2012-01-04,2.776690634944683
2012-01-05,2.78480656967472
2012-01-06,2.7883705571734554
2012-01-09,2.7574891602406115
2012-01-10,2.746026993076695
2012-01-11,2.690638655320921
2012-01-12,2.6078540511167656
2012-01-13,2.5799323606690834
2012-01-16,2.5794131046257225
2012-01-17,2.5953420806070016
2012-01-18,2.6215146826563283
2012-01-19,2.6585532410304733
2012-01-20,2.70438271039598
2012-01-23,2.76579323528114
2012-01-24,2.8119814220663555
2012-01-25,2.7922131495889357
2012-01-26,2.7194178824944704
2012-01-27,2.6759279617330693
2012-01-30,2.634369803312692
2012-01-31,2.665751627507825
2012-02-01,2.633599499938887
2012-02-02,2.6277577500760736
2012-02-03,2.6498135872554265
2012-02-06,2.6376911404853183
2012-02-07,2.6654100412666004
2012-02-08,2.6773996281761967
2012-02-09,2.6823732513822254
2012-02-10,2.659373010782689
2012-02-13,2.6312298548039976
2012-02-14,2.6417401472122464
2012-02-15,2.6361321458929847
2012-02-16,2.64455468219062
2012-02-17,2.681880829672181
2012-02-20,2.6804156685713982
2012-02-21,2.6952940619948675
2012-02-22,2.674352202800809
2012-02-23,2.6344749002093364
2012-02-24,2.630551326850612
2012-02-27,2.600287931937721
2012-02-28,2.592481495137046
2012-02-29,2.590987566225758
2012-03-01,2.5615032711472328
2012-03-02,2.532225203422728
2012-03-05,2.5574380448407315
2012-03-06,2.565187374435494
2012-03-07,2.5521427240099204
2012-03-08,2.536555002296775
2012-03-09,2.5373064300163923
2012-03-12,2.5275655348769925
